exp,time,CA,CB,CC,temp,CA0
11,0.0,2.733832900823291,0.007404789845085644,-0.05384249374887492,441.65,2.7
11,0.1,0.8261130860535929,1.7956352701959566,0.02250975235416805,441.65,2.7
11,0.2,0.3112913642416877,1.9943473012705355,0.4308827463932512,441.65,2.7
11,0.3,0.16805476789338222,1.8225044515514859,0.7651475131920747,441.65,2.7
11,0.4,0.18487355655225235,1.6105709582051622,0.9171251278912855,441.65,2.7
11,0.5,0.1442840575113898,1.447847516292095,1.0699915233902662,441.65,2.7
11,0.6,0.1024937561980596,1.3856034492482685,1.181865458897965,441.65,2.7
11,0.7,0.08242630486997911,1.294579383028351,1.319928296658645,441.65,2.7
11,0.8,0.0611901103942075,1.2266984018751668,1.3889260370857397,441.65,2.7
11,0.9,0.07627879349581113,1.1293117826336636,1.4673770880222343,441.65,2.7
11,1.0,0.03974317799527392,1.0750652114613535,1.584710442279003,441.65,2.7
