exp,time,CA,CB,CC,temp,CA0
8,0.0,2.4508656072566444,-0.045097918222639845,-0.054849799774838885,405.65,2.5
8,0.1,0.9525199226183877,1.5217378221447428,0.055227513013835196,405.65,2.5
8,0.2,0.35412014739722814,1.939331381088443,0.2016339349872199,405.65,2.5
8,0.3,0.1770978771429041,1.8922385986950263,0.41326159548635505,405.65,2.5
8,0.4,0.1820906764714178,1.8210958530740413,0.5362855743860435,405.65,2.5
8,0.5,0.13918941373613214,1.6724307827630094,0.6588460828830535,405.65,2.5
8,0.6,0.04716304055887952,1.6374051343100402,0.8343655380863929,405.65,2.5
8,0.7,0.09545071972144484,1.4433295884174844,0.8924956211363256,405.65,2.5
8,0.8,0.07717651321184991,1.4370415414775566,1.0134251441437043,405.65,2.5
8,0.9,0.06500373395232245,1.3038849221037387,1.0576968978580064,405.65,2.5
8,1.0,0.00121927571508533,1.2957265397403517,1.1401669577595608,405.65,2.5
