exp,time,CA,CB,CC,temp,CA0
13,0.0,4.1,0.0,0.0,378.65,4.1
13,0.1,1.820930612663631,2.2159298122435045,0.06313957509286294,378.65,4.1
13,0.2,0.8671003960184142,2.8517894015153242,0.38111020246626,378.65,4.1
13,0.3,0.46011777122810416,2.843985101005446,0.7958971277664476,378.65,4.1
13,0.4,0.27891418803165063,2.6596980561237564,1.1613877558445913,378.65,4.1
13,0.5,0.19444231991217215,2.4529960726089355,1.45256160747889,378.65,4.1
13,0.6,0.1520608309364053,2.266790320802267,1.681148848261326,378.65,4.1
13,0.7,0.12880138790838092,2.108040845666396,1.8631577664252215,378.65,4.1
13,0.8,0.11456258626868544,1.974357018545627,2.0110803951856857,378.65,4.1
13,0.9,0.10484989479131104,1.861354371514759,2.133795733693928,378.65,4.1
13,1.0,0.09768667086615954,1.7648146120245263,2.2374987171093124,378.65,4.1
