exp,time,CA,CB,CC,temp,CA0
11,0.0,2.7,0.0,0.0,441.65,2.7
11,0.1,0.7881646198290966,1.810746904594031,0.10108847557687346,441.65,2.7
11,0.2,0.3037751109652344,1.974419349000087,0.4218055400346795,441.65,2.7
11,0.3,0.16971142264304634,1.8123283526638976,0.7179602246930569,441.65,2.7
11,0.4,0.12536527165658445,1.6359639124178462,0.93867081592557,441.65,2.7
11,0.5,0.10604343136057234,1.4910275651633729,1.1029290034760555,441.65,2.7
11,0.6,0.0950001856517695,1.3755221926002843,1.2294776217479475,441.65,2.7
11,0.7,0.08727158479143468,1.2823714524279113,1.3303569627806553,441.65,2.7
11,0.8,0.08129267005471004,1.2055623391646166,1.4131449907806743,441.65,2.7
11,0.9,0.07645951420489093,1.1409802411929284,1.4825602446021817,441.65,2.7
11,1.0,0.07239449192027855,1.0856228312014418,1.5419826768782807,441.65,2.7
