exp,time,CA,CB,CC,temp,CA0
12,0.0,4.290546087077444,-0.027859785414091707,-0.0657079222399997,432.65,4.300000000000001
12,0.1,1.305302268404286,2.665378001941933,0.3515323787666085,432.65,4.300000000000001
12,0.2,0.5207219004644554,2.677191959520767,1.0768549642231202,432.65,4.300000000000001
12,0.3,0.26584784294224734,2.362978024935672,1.7317654598473053,432.65,4.300000000000001
12,0.4,0.1573543698493847,1.9816527101633106,2.0747229649918517,432.65,4.300000000000001
12,0.5,0.14401902475005082,1.7988404059459209,2.3799763308404724,432.65,4.300000000000001
12,0.6,0.11738405724935387,1.584721259884918,2.5678270904206464,432.65,4.300000000000001
12,0.7,0.12597040128332163,1.5140019874531514,2.7507682342443975,432.65,4.300000000000001
12,0.8,0.10203720191332319,1.3645769979537856,2.787825438042529,432.65,4.300000000000001
12,0.9,0.08764779342517671,1.2935482356555108,2.841469181288102,432.65,4.300000000000001
12,1.0,0.05029922293613602,1.238564024915723,2.9811384718619287,432.65,4.300000000000001
