exp,time,CA,CB,CC,temp,CA0
12,0.0,4.300000000000001,0.0,0.0,432.65,4.300000000000001
12,0.1,1.330450328535438,2.6668599530866626,0.30268971837790004,432.65,4.300000000000001
12,0.2,0.5070934115644216,2.6825770762420063,1.1103295121935726,432.65,4.300000000000001
12,0.3,0.2557430205959216,2.325788135283061,1.7184688441210176,432.65,4.300000000000001
12,0.4,0.16833569920441716,2.0200945878750285,2.1115697129205544,432.65,4.300000000000001
12,0.5,0.13173250939279205,1.791573306817983,2.376694183789225,432.65,4.300000000000001
12,0.6,0.11261299698530619,1.6203491461105817,2.567037856904112,432.65,4.300000000000001
12,0.7,0.1006492976549499,1.4882146927565396,2.7111360095885106,432.65,4.300000000000001
12,0.8,0.09208509004012641,1.3830988249149143,2.8248160850449597,432.65,4.300000000000001
12,0.9,0.08547461429845568,1.2971528526517426,2.917372533049802,432.65,4.300000000000001
12,1.0,0.08018266695387224,1.2253231354285024,2.994494197617626,432.65,4.300000000000001
