exp,time,CA,CB,CC,temp,CA0
4,0.0,4.7,0.0,0.0,297.65,4.7
4,0.1,3.3140148037017254,1.3836952976560861,0.002289898642188869,297.65,4.7
4,0.2,2.350299389141131,2.325415272762436,0.024285338096433115,297.65,4.7
4,0.3,1.679681178358988,2.9374046452330034,0.08291417640800962,297.65,4.7
4,0.4,1.2124624127550163,3.3084368087711717,0.17910077847381287,297.65,4.7
4,0.5,0.8865979771853111,3.5103247475245127,0.30307727529017675,297.65,4.7
4,0.6,0.6587518630643461,3.5984487924830573,0.44279934445259755,297.65,4.7
4,0.7,0.49897610452598584,3.6128459280120118,0.5881779674620033,297.65,4.7
4,0.8,0.38645971032894433,3.581178429898437,0.7323618597726199,297.65,4.7
4,0.9,0.30681254660703783,3.522084443418314,0.8711030099746492,297.65,4.7
4,1.0,0.2501001533291804,3.4478029230152734,1.0020969236555473,297.65,4.7
