1.750000000000000167e-01,3.250000000000000666e-01
9.750000000000000888e-01,6.250000000000000000e-01
5.250000000000000222e-01,1.250000000000000000e-01
3.250000000000000666e-01,9.750000000000000888e-01
2.500000000000000139e-02,9.250000000000000444e-01
1.250000000000000000e-01,8.750000000000000000e-01
5.750000000000000666e-01,2.250000000000000056e-01
6.750000000000000444e-01,4.749999999999999778e-01
6.250000000000000000e-01,3.750000000000000000e-01
4.250000000000000444e-01,2.500000000000000139e-02
2.750000000000000222e-01,1.750000000000000167e-01
8.250000000000000666e-01,4.250000000000000444e-01
7.750000000000000222e-01,8.250000000000000666e-01
4.749999999999999778e-01,7.750000000000000222e-01
7.250000000000000888e-01,6.750000000000000444e-01
8.750000000000000000e-01,7.500000000000001110e-02
3.750000000000000000e-01,7.250000000000000888e-01
7.500000000000001110e-02,5.250000000000000222e-01
9.250000000000000444e-01,5.750000000000000666e-01
2.250000000000000056e-01,2.750000000000000222e-01
